document,metadata
"JVC has an average rating of 3.8 across 123 reviews. Its strongest feature is anc, while the most common customer complaint is comfort. Improving comfort could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'JVC'}"
"LG has an average rating of 3.73 across 139 reviews. Its strongest feature is price, while the most common customer complaint is comfort. Improving comfort could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'LG'}"
"Sennheiser has an average rating of 4.36 across 227 reviews. Its strongest feature is anc, while the most common customer complaint is comfort. Improving comfort could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'Sennheiser'}"
"Skullcandy has an average rating of 3.51 across 362 reviews. Its strongest feature is microphone, while the most common customer complaint is build. Improving build could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'Skullcandy'}"
"Sony has an average rating of 3.89 across 938 reviews. Its strongest feature is battery, while the most common customer complaint is sound. Improving sound could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'Sony'}"
"SoundPEATS has an average rating of 3.72 across 172 reviews. Its strongest feature is price, while the most common customer complaint is comfort. Improving comfort could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'SoundPEATS'}"
"Soundcore has an average rating of 3.97 across 132 reviews. Its strongest feature is sound, while the most common customer complaint is comfort. Improving comfort could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'Soundcore'}"
"Aspect: anc
Severity: moderate
Worst Brand: Sony
Complaint Rate: 1.92%
Best Brand: Anker
Best Aspect Rating: 5.0
Recommendation: Anc is a moderate issue. Sony has the highest complaint rate at 1.92%, while Anker leads this aspect with an average rating of 5.00. Teams should prioritize improvements in anc to reduce dissatisfaction and match top competitors.","{'type': 'recommendation', 'brand': 'Sony', 'aspect': 'anc'}"
"Aspect: battery
Severity: high
Worst Brand: Bose
Complaint Rate: 3.73%
Best Brand: Audio-Technica
Best Aspect Rating: 4.83
Recommendation: Battery is a high issue. Bose has the highest complaint rate at 3.73%, while Audio-Technica leads this aspect with an average rating of 4.83. Teams should prioritize improvements in battery to reduce dissatisfaction and match top competitors.","{'type': 'recommendation', 'brand': 'Bose', 'aspect': 'battery'}"
"Aspect: build
Severity: critical
Worst Brand: Skullcandy
Complaint Rate: 5.52%
Best Brand: Audio-Technica
Best Aspect Rating: 4.6
Recommendation: Build is a critical issue. Skullcandy has the highest complaint rate at 5.52%, while Audio-Technica leads this aspect with an average rating of 4.60. Teams should prioritize improvements in build to reduce dissatisfaction and match top competitors.","{'type': 'recommendation', 'brand': 'Skullcandy', 'aspect': 'build'}"
"Aspect: comfort
Severity: critical
Worst Brand: LG
Complaint Rate: 7.91%
Best Brand: Audio-Technica
Best Aspect Rating: 4.49
Recommendation: Comfort is a critical issue. LG has the highest complaint rate at 7.91%, while Audio-Technica leads this aspect with an average rating of 4.49. Teams should prioritize improvements in comfort to reduce dissatisfaction and match top competitors.","{'type': 'recommendation', 'brand': 'LG', 'aspect': 'comfort'}"
"Aspect: connectivity
Severity: high
Worst Brand: Skullcandy
Complaint Rate: 3.59%
Best Brand: Sennheiser
Best Aspect Rating: 4.44
Recommendation: Connectivity is a high issue. Skullcandy has the highest complaint rate at 3.59%, while Sennheiser leads this aspect with an average rating of 4.44. Teams should prioritize improvements in connectivity to reduce dissatisfaction and match top competitors.","{'type': 'recommendation', 'brand': 'Skullcandy', 'aspect': 'connectivity'}"
"Aspect: microphone
Severity: high
Worst Brand: LG
Complaint Rate: 4.32%
Best Brand: Audio-Technica
Best Aspect Rating: 4.56
Recommendation: Microphone is a high issue. LG has the highest complaint rate at 4.32%, while Audio-Technica leads this aspect with an average rating of 4.56. Teams should prioritize improvements in microphone to reduce dissatisfaction and match top competitors.","{'type': 'recommendation', 'brand': 'LG', 'aspect': 'microphone'}"
"Aspect: price
Severity: moderate
Worst Brand: Bose
Complaint Rate: 2.17%
Best Brand: Anker
Best Aspect Rating: 4.62
Recommendation: Price is a moderate issue. Bose has the highest complaint rate at 2.17%, while Anker leads this aspect with an average rating of 4.62. Teams should prioritize improvements in price to reduce dissatisfaction and match top competitors.","{'type': 'recommendation', 'brand': 'Bose', 'aspect': 'price'}"
"Aspect: sound
Severity: high
Worst Brand: Bose
Complaint Rate: 4.97%
Best Brand: Audio-Technica
Best Aspect Rating: 4.61
Recommendation: Sound is a high issue. Bose has the highest complaint rate at 4.97%, while Audio-Technica leads this aspect with an average rating of 4.61. Teams should prioritize improvements in sound to reduce dissatisfaction and match top competitors.","{'type': 'recommendation', 'brand': 'Bose', 'aspect': 'sound'}"
"Brand: Sony
Aspects: build, comfort, sound
Rating: 2.0
Importance Score: 9.61
Review: Good sound, but quickly breaks I like the sound quality, but they tend to break very reliably after 2 - 3 months.  It's always that one of the ear-buds stops producing sound.  I'm not hard on the ear-buds--I only use them for exercising once a day--but, regardless, they don't last more than 4 months tops.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build', 'comfort', 'sound'], 'parent_asin': 'B00FPN0TG2'}"
"Brand: Sony
Aspects: build, comfort, price
Rating: 1.0
Importance Score: 18.97
Review: DO NOT BUY - design flaw; they will break Now that they're broken and unusable, it's easy to see the flaw in design. The cheap plastic develops a crease where the earpiece hinges at the band. Once this occurs, any use at all will cause them to crack and become unwearable. Took barely more than a year of light use to do this. I went back to the seller and they had quit selling them because of this problem; it took less than a year for moderate to heavy users which meant alot of warranty replacements.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build', 'comfort', 'price'], 'parent_asin': 'B01LXS5BXS'}"
"Brand: Sony
Aspects: anc, comfort, connectivity, sound
Rating: 2.0
Importance Score: 9.55
Review: major problems with Bluetooth connection These headphones sound awesome, noise cancellation awesome ,fit was good. What is really bad about these earbuds are the cutting in and out of the Bluetooth connection and having to reset them multiple times for them still not to work had to send them back. Really wanted to love them.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['anc', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B096WPKZNR'}"
"Brand: LG
Aspects: comfort
Rating: 1.0
Importance Score: 12.38
Review: Didn't last a full year Just like it's predecessor, the right speaker went out. The left works fine. I only wish they lasted longer. Looks like I am looking for a new brand of headset. Sigh","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['comfort'], 'parent_asin': 'B0BK7YKY2Y'}"
"Brand: Skullcandy
Aspects: anc, build, comfort, connectivity, price, sound
Rating: 1.0
Importance Score: 12.71
Review: disappointed this is NOT worth 100$ price. Does NOT connect properly to a pc bluetooth it pairs but does not transmit sound. The provided aux cable is super short, unable to wear it while connected to pc, really? for a 100$ product you could not include a 5ft cable??? lastly the sound quality is not impressive at all. Frankly the only useful part of these headphones is the noise cancellation feature.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['anc', 'build', 'comfort', 'connectivity', 'price', 'sound'], 'parent_asin': 'B0BB5Y7SGC'}"
"Brand: Bose
Aspects: build, comfort, connectivity, price, sound
Rating: 2.0
Importance Score: 9.68
Review: Poor sound quality. Loose fit. I was just so disappointed as I had gotten these for the Bose's renowned sound quality. Turned out the sound quality was so very poor. They didn't quite fit in my ears either and almost fell off while working out.<br /><br />I returned these and have purchased a Sony pair at a cheaper price and the sound quality is so much better.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['build', 'comfort', 'connectivity', 'price', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Sony
Aspects: build, comfort
Rating: 1.0
Importance Score: 12.70
Review: Not a good investment What a disappointing Father's Day gift these turned out to be.  Reception is super spotty.  If you don't have a good clear line of site to the base, you'll get nothing but static. Don't even think to get up and move around unless you want an ear full of static too.  I would have expected much better quality from Sony.  Very disappointed.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build', 'comfort'], 'parent_asin': 'B009A6CZ26'}"
"Brand: LG
Aspects: battery, comfort
Rating: 1.0
Importance Score: 12.38
Review: Nasty and no cord I understand I bought used but I didn't expect the ear buds to be full of wax. If that wasn't bad enough there was no charge cord in the box. Instant return.","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['battery', 'comfort'], 'parent_asin': 'B00R9RF0EI'}"
"Brand: Sony
Aspects: build, comfort, sound
Rating: 1.0
Importance Score: 15.51
Review: manufacturing defects I bought two of these headphones. Both had serious manufacturing defects.<br /><br />On one, the supplied RCA cord was bad (no sound at all). I replaced this with one from my junk box and all was well.<br /><br />The other had to be returned. (Aside, one reason I buy from Amazon is their excellent return polices). There simply was no sound to the left earpiece.<br /><br />While a population of two, of course, is insufficient to make a lasting judgement, it does seem the factory fails the soldering/crimping test. :)<br /><br />The purpose of these was simply to allow my wife to watch/listen to TV in the middle of the night without awaking me. (one for the small bedroom TV and the other for the monster in the living room). Hence the absence of comments on sound quality.. except to set them up (or try to), I have never had them on.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build', 'comfort', 'sound'], 'parent_asin': 'B000PCEFXQ'}"
"Brand: SoundPEATS
Aspects: build, comfort
Rating: 1.0
Importance Score: 12.81
Review: Waste of money. Bad seller. I ordered two set. One for myself and one for my boyfriend. Mine broke before I even used them. My boyfriends didn't, however they don't stay in your ears for cardio. I never right negative review but I contacted the seller TWICE to ask if he would replace the ear piece covers and he said he would, but never did. Kind of a shame because I really wanted to like these. Waste of money.","{'type': 'review_evidence', 'brand': 'SoundPEATS', 'aspects': ['build', 'comfort'], 'parent_asin': 'B00PHFH0SS'}"
"Brand: Bose
Aspects: anc, comfort, connectivity, sound
Rating: 2.0
Importance Score: 9.99
Review: Great concept but lacks functionality I love bose and own three different pairs of wired and a noise canceling set.  This is the first pair that I was truly disappointed with.  I workout and run a lot, and needed a good fitness pair of headphones.  The sound wasn't as good as bose is known for and the fit was terrible.  I tried all different size ear pieces and none fit well enough to keep the right ear piece in place due to the LARGE control box.  It's ridiculously heavy for a pair of headphones and absurdly large.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['anc', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Skullcandy
Aspects: build, comfort
Rating: 1.0
Importance Score: 12.14
Review: Low quality Left earbud already stopped working havent had them a week. Seriohsly dissapointed.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['build', 'comfort'], 'parent_asin': 'B09S1BSZQB'}"
"Brand: Bose
Aspects: battery, comfort, sound
Rating: 1.0
Importance Score: 14.47
Review: Bad choice for running Loud wind noise in small breeze, buds are heavy with poor battery life. standby mode consumes battery very fast. Must remember to turn if off after use. Buds protrude too much outside of ear canal and make loud noise when breaks with wind","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['battery', 'comfort', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Skullcandy
Aspects: build
Rating: 1.0
Importance Score: 12.11
Review: Poor quality The headpiece broke in less than a week. Disappointing","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['build'], 'parent_asin': 'B07572WDGL'}"
"Brand: Bose
Aspects: battery, comfort, connectivity
Rating: 1.0
Importance Score: 14.67
Review: Love em but they don't work anymore UPDATE;  18 month later these earbuds will not hold a connection for more than 20 seconds...they keep unpairing from my computer.  Apparently there are numerous other owners with the same problem and Bose will not offer any solution other than to recharge, which doesn't work to fix the problem.  I will not replace with the same product.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['battery', 'comfort', 'connectivity'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Bose
Aspects: battery, build, comfort, connectivity, microphone, price, sound
Rating: 2.0
Importance Score: 10.78
Review: Return! I returned for the following reasons<br />1)  does not block wind.  The 3 pairs of cheap $30 headphones I've had for 6 years blocked wind.  I'm not sure if it's because the speakers stick out far, or the rubber ear does not insert as tightly, but there were parts of my walk outside that I couldn't hear a podcast because of the wind, which wasn't even that strong.<br />2) No magnetic attachment.  When I have my headphones not on I like them to be magnetically clasped around my neck.  The alligator clip and weight of the headphones helped some, but not enough<br />3) Battery life is too low.  Previous headphones I've worn had a 9 hour battery life, which meant very sporadic charging.  After  a few days I felt the need to charge these every day.<br /><br />I did like<br />1) sound quality<br />2) quick connection via bluetooth<br />3) easy turn on off with an easy press<br />4) I can put my phone down and walk away and it wouldn't drop.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['battery', 'build', 'comfort', 'connectivity', 'microphone', 'price', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Sony
Aspects: sound
Rating: 1.0
Importance Score: 12.60
Review: Sony issue with zero support The headphones did work great for a while but suddenly the right piece now produces popping sounds as well as loud feedback. Do yourself a favor and see how many others are having the same exact issue with zero help from sony. Im looking for other companies now after using sony products for some time.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['sound'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: SoundPEATS
Aspects: comfort, connectivity
Rating: 1.0
Importance Score: 12.84
Review: Disappointed...... I got exactly one good use out of these, after that the right earbud kept popping out my ear and when I tried to slightly adjust it, it threw the whole self folding design off and it came apart where the ear hook meet the wire. Also sometimes it took me 10 minutes to pair up...I am so disappointed in this device, I just hope this is not the case with all of them but regardless I won't be buying again.","{'type': 'review_evidence', 'brand': 'SoundPEATS', 'aspects': ['comfort', 'connectivity'], 'parent_asin': 'B00YWZ1JWC'}"
"Brand: Sony
Aspects: comfort
Rating: 1.0
Importance Score: 12.61
Review: Believe what you read I really rely on Amazon reviews before I buy a product but in this case I gave Sony the benefit of the doubt. If you like listening through one ear these headphones are for you; but for those of you who expect a product to work out of the box I suggest you buy from another company.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['comfort'], 'parent_asin': 'B000PCEFXQ'}"
"Brand: Bose
Aspects: battery, build, sound
Rating: 1.0
Importance Score: 14.11
Review: Broken Headphone sounds good but was sent a broken charger cord.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['battery', 'build', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Skullcandy
Aspects: build, comfort, connectivity, sound
Rating: 2.0
Importance Score: 14.30
Review: comfortable but terrible sound quality, get JBL instead Bought these for daily gym use.<br /><br />Original impression was pretty good, simple and easy to use, comfortable, synced to phone without problem.<br /><br />Unfortunately the sound quality was so bad I couldn't even listen to them loud enough at the gym to cover all the background noise. The highs are so muddy/tinny, and blown out I could not turn them up even loud enough to hear music. All of my prior bluetooth headphones were under $40, so I'm used to low dollar headphones, but these were much worse than any other pair I had. Returned them.<br /><br />Do yourself a favor and spend the extra $15 to get the JBL headphones, SO much better sound quality, your ears will thank you!!","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['build', 'comfort', 'connectivity', 'sound'], 'parent_asin': 'B08HTNC8PJ'}"
"Brand: Bose
Aspects: anc, comfort, microphone, sound
Rating: 2.0
Importance Score: 11.52
Review: Ergonomics sacrificed for sound Sound is great. Ergonomics not so much. Relatively heavy ear pieces expected to stay in place based on some assumed universal ear anatomy. If for instance you try to run with them, prepare to continually fidget with them as you try to keep them jammed in your ears.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['anc', 'comfort', 'microphone', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: Bose
Aspects: anc, battery, comfort, sound
Rating: 2.0
Importance Score: 9.36
Review: Bose headphones The battery does not last very long.  I would not buy again.  Noise cancellation is great.  Have to take them out to hear a person talk to you.  No, I do not recommend these.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['anc', 'battery', 'comfort', 'sound'], 'parent_asin': 'B01HETFQMQ'}"
"Brand: Audio-Technica
Aspects: anc, comfort
Rating: 1.0
Importance Score: 32.42
Review: Left side louder than the right. I've plugged these in to different things and the result is always the same, the left earphone is louder than the right.  Too much money for a piece of crap that isn't equally balanced.","{'type': 'review_evidence', 'brand': 'Audio-Technica', 'aspects': ['anc', 'comfort'], 'parent_asin': 'B0BD99CPHB'}"
"Brand: Bose
Aspects: battery, build
Rating: 2.0
Importance Score: 9.26
Review: Short battery life, one side broken already... First month with these were great.  Now the battery life is short and one of them has gone dead.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['battery', 'build'], 'parent_asin': 'B0B62FJF1J'}"
"Brand: SoundPEATS
Aspects: comfort
Rating: 2.0
Importance Score: 9.19
Review: Won't stay in your ears I could not get these to stay in my ears. Waste of money.","{'type': 'review_evidence', 'brand': 'SoundPEATS', 'aspects': ['comfort'], 'parent_asin': 'B01K3ZR0RC'}"
"Brand: Sony
Aspects: anc, comfort, price, sound
Rating: 1.0
Importance Score: 17.41
Review: I thought I found a bargain...was I ever wrong I really liked the idea of wireless headphones (who doesn't?) as it's one less cable to trip over, or step on and break, and the only set I ever saw was down at my local music store for like $200. I have always liked Amazon for the great price breaks one can get here, so I did a search and decided that these, with the Sony name, at that price was an unbelievable value. My dad always told me that whatever seems too good to be true usually is, and that was definitely the case in this instance. These headphones SUCK period.They dont have great fidelity and the hissing noise is intolerable. DON'T BUY THESE HEADPHONES! Amazon, I'd advise you to drop them from your catalogue.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['anc', 'comfort', 'price', 'sound'], 'parent_asin': 'B0001YFZ46'}"
"Brand: Sennheiser
Aspects: battery
Rating: 1.0
Importance Score: 22.58
Review: WHY IS THIS BATTERY STILL HERE You DO NOT need this battery. Amazon still has on the 130 Head set picture and the ""Frequently Bought Together"" photo.<br />Well I fell for it and bought the battery. ebattery knows it's in error but yet people like me fall for it and good luck getting your 8 dollars back.","{'type': 'review_evidence', 'brand': 'Sennheiser', 'aspects': ['battery'], 'parent_asin': 'B0009PL4CY'}"
"Brand: Sony
Aspects: build, comfort, price, sound
Rating: 1.0
Importance Score: 14.83
Review: There is a reason these headphones are on sale.  Sound was ok, but not what was expected I was looking for a robust sound and high quality headphone. These are a great idea, but they need more work. I was very disappointed. The sound quality was ok, but when turned all the way up, the volume was lower than the cheap earbuds I use at the gym.<br />The controls are sketchy and I had a difficult time getting everything to work as advertised.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build', 'comfort', 'price', 'sound'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: Sony
Aspects: build
Rating: 1.0
Importance Score: 12.30
Review: I friend of mine bought it for himself and i ... I friend of mine bought it for himself and i shipped it for him.<br /><br />It broke after a few months.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build'], 'parent_asin': 'B00ANUPRFU'}"
"Brand: Sony
Aspects: comfort, microphone
Rating: 1.0
Importance Score: 12.59
Review: Can't make phone calls - horrible mic - collecting dust From day 1, whenever I make a call, no one can hear what I'm saying. Instead, they hear a ton of static and a very quiet muffled incoherent voice. Totally useless for communicating. I wish I could return or replace these but now they collect dust in my drawer.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['comfort', 'microphone'], 'parent_asin': 'B096WPKZNR'}"
"Brand: Skullcandy
Aspects: battery, build, connectivity
Rating: 1.0
Importance Score: 51.53
Review: Not worth it I ordered these because my I enjoy listening to music at work but because of my iPhone 7 I can’t charge my phone and listen to music at the same time. After about 2 months, the left side stopped working. I ended up contacting the company and they very easily sent a new pair. Now, I was out of a headset for about a month but was glad with the process on getting them replaced. I’ve now had the second set for about 3 months and guess what?? THE RIGHT SIDE STOPPED WORKING. So I would so do not buy these. Just go ahead and spend a little more on a better quality wireless headset. Maybe if you don’t plan on using them all the time it’s a good investment, but it’s not worth it when they’ve broken twice in less than 6 months.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['battery', 'build', 'connectivity'], 'parent_asin': 'B08HTNLS6N'}"
"Brand: Sennheiser
Aspects: comfort, sound
Rating: 2.0
Importance Score: 10.16
Review: Great Sound Very poor design for comfort and fit I love being able to listen to my movies and shows without the wife barging in constantly asking me to turn the tv down , ptsd from when I was growing up and parents constantly asking me to turn things down......I gave this a 2 because the comfort of the headphones are lacking and the pleather material is also very hot and uncomfortable. They offer a cloth type material on another model but I didn’t want to spend an additional $100 + for additional comfort that should be included In the $248 I spent on these. The design needs to go back for some serious R&D!!","{'type': 'review_evidence', 'brand': 'Sennheiser', 'aspects': ['comfort', 'sound'], 'parent_asin': 'B00WUN9PE2'}"
"Brand: Sony
Aspects: build, microphone, price
Rating: 1.0
Importance Score: 34.79
Review: Garbage headphones, cracked in 10 uses Garbage headphones, cracked in 10 uses. Listened to music 10 times, didn't overextend the band or drop it, and it cracked along the band.<br />Called Sony customer support ""nothing they can do"". Amazon customer service was helpful in getting me in touch, but the Sony folks said defective products aren't covered under warranty. $200 headphones shouldn't have plastic so cheap it cracks after a week. Don't waste your money.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build', 'microphone', 'price'], 'parent_asin': 'B088GJ1L5Z'}"
"Brand: Anker
Aspects: comfort, microphone, sound
Rating: 2.0
Importance Score: 9.97
Review: Stopped working after 2.5 months These headphones worked great (excellent sound, good fit, etc) until they suddenly stopped work. At first the buttons stopped responding, only working again when I restarted everything. Then the left earbud ceased producing any sound. I bought these to use for basic functions (e.g listening to music and making phone calls). They were not used roughly, and spent most of the time around my neck so the sudden cease in function is very disappointing.<br />When they worked, they were excellent. But that only lasted a little more than 2 months.","{'type': 'review_evidence', 'brand': 'Anker', 'aspects': ['comfort', 'microphone', 'sound'], 'parent_asin': 'B071GNH9MT'}"
"Brand: Sony
Aspects: build, comfort
Rating: 1.0
Importance Score: 16.40
Review: Broke in less than one year.. arm dislocated Broke in less than a year. I am a 58 year old woman, handling my products with care. The arm broke in less than a year rendering the product useless.  Very disappointed.","{'type': 'review_evidence', 'brand': 'Sony', 'aspects': ['build', 'comfort'], 'parent_asin': 'B08DBDSVBC'}"
"Brand: LG
Aspects: battery, build
Rating: 2.0
Importance Score: 9.12
Review: Two Stars Not very high quality. Power switch broke after third use.","{'type': 'review_evidence', 'brand': 'LG', 'aspects': ['battery', 'build'], 'parent_asin': 'B00D477YFA'}"
"Brand: JVC
Aspects: comfort
Rating: 1.0
Importance Score: 24.60
Review: If they don't stay on my head how can I leave a review I guess these were made for men and Bigfoot because the band that hooks around the ear is way too thick. Add in eye glasses and an oxygen canula, nope not for me. I can't even get the right side to stay on while sitting.","{'type': 'review_evidence', 'brand': 'JVC', 'aspects': ['comfort'], 'parent_asin': 'B0BQCG3T3B'}"
"Brand: Skullcandy
Aspects: battery, build, sound
Rating: 1.0
Importance Score: 13.00
Review: Plastic Broke: Unusable Do NOT buy these!<br />I got these as a christmas gift and after a few months, of which I took IMPECCABLE care of these headphones, the plastic part snapped on one side and started to crack on the other. I loved the sound quality and the battery life was decent. Now I can’t even use my headphones and I am so disappointed in the quality of this product. I also read another thread on an online forum of this happening to a lot if people and SkullCandy apparently will not cover it with their limited warranty.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['battery', 'build', 'sound'], 'parent_asin': 'B075749KHR'}"
"Brand: Skullcandy
Aspects: comfort
Rating: 2.0
Importance Score: 9.22
Review: Not sure They work well but they hurt my ears, they keep slipping out even though I have on the smallest earbuds.","{'type': 'review_evidence', 'brand': 'Skullcandy', 'aspects': ['comfort'], 'parent_asin': 'B0B3M2KLD1'}"
"Brand: Bose
Aspects: comfort, connectivity, sound
Rating: 1.0
Importance Score: 27.10
Review: Once again, right earbud nearly dead This is the second pair of identical Bose headphones I bought from Amazon over the past 3 years. This pair that I bought in November of 2020 is having the same issue as the one I bought in 2018. Out of nowhere the right sound earbud goes very tinny and silent. I tried resetting the headphones by plugging in waiting 5 seconds, and then unplugging and waiting a minute. None of these issues have helped. The last time this happened and sent me a refurbished set. I will be contacting customer support again and letting them know how unhappy I am with this product.","{'type': 'review_evidence', 'brand': 'Bose', 'aspects': ['comfort', 'connectivity', 'sound'], 'parent_asin': 'B0B62FJF1J'}"
